,concept_id,concept_name,hierarchy
152476,261555005,Repair for obstruction of urinary reservoir (procedure),procedure
152477,261556006,Repair of perforated urinary reservoir (procedure),procedure
152478,261557002,Revision of urinary reservoir continence mechanism (procedure),procedure
152479,261559004,Urinary reservoir bowel segment revision (procedure),procedure
152482,261562001,Percutaneous transluminal angioplasty of systemic to pulmonary arterial shunt using fluoroscopic guidance with contrast (procedure),procedure
152483,261563006,Sleeve pulmonary artery excision (procedure),procedure
152484,261566003,Tangential pulmonary artery resection (procedure),procedure
152488,261572003,Trimming of skin (procedure),procedure
152490,261577009,Upper pouch myotomy (procedure),procedure
152491,261578004,Vaginal Z-plasty (procedure),procedure
152493,261585000,Forward sliding genioplasty (procedure),procedure
152505,261597004,Dye test of fallopian tube (procedure),procedure
152528,261623000,Entire mesogastrium (body structure),body structure
152542,261668008,Accommodation of straddling atrioventricular papillary muscle (procedure),procedure
152551,261677001,Repair of incisional hernia using anterior sheath overlap (procedure),procedure
152584,261713004,Metastatic islet cell carcinoma (morphologic abnormality),morphologic abnormality
152590,261719000,Breast cavity (morphologic abnormality),morphologic abnormality
152596,261725001,Suturing of tendon using Bunnell suture technique (procedure),procedure
152597,261726000,Entire ileocecal fold (body structure),body structure
152624,261755008,Coronary inclusion technique (procedure),procedure
152625,261756009,Coronary interposition technique (procedure),procedure
152626,261757000,Dartos pouch (morphologic abnormality),morphologic abnormality
152633,261765002,Loop colostomy - stoma (morphologic abnormality),morphologic abnormality
152634,261766001,Construction of divided colostomy (procedure),procedure
152674,261808007,Neonatal cerebral hemorrhage (disorder),disorder
152689,261823002,Entire vascular fold of cecum (body structure),body structure
152692,261827001,High anal fistula (disorder),disorder
152719,261858000,Isoperistaltic reservoir (morphologic abnormality),morphologic abnormality
152720,261859008,J pouch (morphologic abnormality),morphologic abnormality
152735,261874005,Kessler suture of tendon (procedure),procedure
152781,261922008,Entire peritoneal fold (body structure),body structure
152791,261935004,Manipulative behavior (finding),finding
152829,261977004,Neck flexion (finding),finding
152846,261999007,Non-weight-bearing (finding),finding
152860,262015000,Omental wrap (procedure),procedure
152861,262016004,Open mouth (finding),finding
152863,262018003,Structure of ligament of liver (body structure),body structure
152929,262091005,Reattachment of rotator cuff to humeral prosthetic component (procedure),procedure
152932,262094002,Related (finding),finding
152940,262103002,Structure of right atrial accessory pathway (body structure),body structure
152950,262115003,Entire hepatocolic ligament (body structure),body structure
152953,262119009,S pouch (morphologic abnormality),morphologic abnormality
152966,262133009,Entire scrotal wall (body structure),body structure
152977,262145000,Simple suture of tendon (procedure),procedure
152998,262167004,Structure of splenic bed (body structure),body structure
153006,262175005,Standing/tilting (finding),finding
153019,262189000,Strickland suture of tendon (procedure),procedure
153028,262199005,Telescopic bronchial anastomotic reinforcement (procedure),procedure
153036,262209009,Entire ligamentum teres of liver (body structure),body structure
153050,262225004,Entire trunk (body structure),body structure
153065,262241003,Unrelated (finding),finding
153082,262263007,Vitellointestinal band (disorder),disorder
153092,262273009,W pouch (morphologic abnormality),morphologic abnormality
153095,262277005,Warming of inhaled gases (procedure),procedure
153103,262285001,Weight decreased (finding),finding
153104,262286000,Weight increased (finding),finding
153112,262294007,With cheek inflated (finding),finding
153115,262297000,Induced diuresis (procedure),procedure
153116,262298005,With film in buccal sulcus (finding),finding
153117,262299002,With floor of mouth depressed (finding),finding
153122,262304001,Remounting of denture on articulator (procedure),procedure
153125,262307008,Structure of ligamentum venosum of liver (body structure),body structure
153129,262312009,Without floor of mouth depressed (finding),finding
153264,262457001,Cervical mediastinoscopy (procedure),procedure
153268,262461007,Infection caused by Bartonella bacilliformis (disorder),disorder
153317,262511001,Entire peritoneal mesothelium (body structure),body structure
153321,262519004,Multiple injuries (disorder),disorder
153322,262520005,Thumb injury (disorder),disorder
153323,262521009,Traumatic injury of spinal cord and/or vertebral column (disorder),disorder
153324,262522002,Injury of cervical spine (disorder),disorder
153325,262523007,Injury of thoracic spine (disorder),disorder
153326,262524001,Injury of lumbar spine (disorder),disorder
153327,262525000,Chest injury (disorder),disorder
153328,262526004,Wound of skin (disorder),disorder
153329,262527008,Superficial traumatic edema (disorder),disorder
153330,262530001,Traumatic petechiae (disorder),disorder
153331,262531002,Pinch mark (disorder),disorder
153332,262532009,Pattern bruising (disorder),disorder
153333,262533004,Impact bruising (disorder),disorder
153334,262534005,Confluent bruising (disorder),disorder
153335,262538008,Gravel rash (disorder),disorder
153336,262539000,Superficial friction burn (disorder),disorder
153337,262540003,Superficial incised wound (disorder),disorder
153338,262541004,Superficial laceration (disorder),disorder
153339,262544007,Superficial laceration of head (disorder),disorder
153340,262545008,Open wound of nail (disorder),disorder
153341,262546009,Superficial flap laceration (disorder),disorder
153342,262548005,Superficial avulsion wound (disorder),disorder
153343,262549002,Superficial puncture wound (disorder),disorder
153344,262550002,Infected insect bite (disorder),disorder
153346,262554006,Superficial mammalian bite wound (disorder),disorder
153347,262555007,Human bite - wound (disorder),disorder
153348,262556008,Superficial dog bite wound (disorder),disorder
153349,262557004,Deep wound (disorder),disorder
153350,262559001,Deep hematoma (disorder),disorder
153351,262560006,Penetrating wound (disorder),disorder
153352,262561005,Deep incised wound of skin (disorder),disorder
153353,262562003,Deep laceration (disorder),disorder
153354,262564002,Deep contused wound (disorder),disorder
153355,262565001,Deep avulsion wound (disorder),disorder
153356,262566000,Deep puncture wound (disorder),disorder
153357,262568004,Deep stab wound (disorder),disorder
153358,262569007,Deep mammalian bite wound (disorder),disorder
153359,262570008,Deep wound due to human bite (disorder),disorder
153360,262571007,Deep dog bite (disorder),disorder
153361,262573005,Pellet wound (disorder),disorder
153362,262574004,Bullet wound (disorder),disorder
153363,262575003,Shotgun wound (disorder),disorder
153364,262576002,Crushing injury of skull and intracranial contents (disorder),disorder
153365,262577006,Degloving injury (disorder),disorder
153366,262579009,Ring avulsion injury of thumb (disorder),disorder
153367,262580007,Ring avulsion injury of finger (disorder),disorder
153368,262581006,Head burn (disorder),disorder
153369,262582004,Burn of face (disorder),disorder
153370,262585002,Epidermal burn of skin of finger (disorder),disorder
153371,262586001,Entire serous capsule of liver (body structure),body structure
153372,262587005,Superficial partial thickness burn (morphologic abnormality),morphologic abnormality
153373,262588000,Deep partial thickness burn (morphologic abnormality),morphologic abnormality
153374,262594008,Mixed thickness burn (morphologic abnormality),morphologic abnormality
153375,262595009,Traumatic amputation (disorder),disorder
153376,262596005,Traumatic amputation of fingertip (disorder),disorder
153377,262597001,Splinter in skin (disorder),disorder
153378,262598006,Intracranial foreign body (disorder),disorder
153379,262599003,Foreign body in respiratory tract (disorder),disorder
